Division,Part,Item,Pay Item,Description,Unit
DIVISION II - BUILDING,PART E,ITEM 1021 – CEMENT FLOOR FINISH,1021 (1)a,Cement Floor Finish (   Plain),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1021 – CEMENT FLOOR FINISH,1021 (1)b,Cement Floor Finish (   Colored),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1021 – CEMENT FLOOR FINISH,1021 (1)c,Cement Floor Finish (   with Floor Hardener),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1021 – CEMENT FLOOR FINISH,1021 (2),Stamped Concrete (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1021 – CEMENT FLOOR FINISH,1021 (3)a,Floor Topping (   Plain),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1021 – CEMENT FLOOR FINISH,1021 (3)b,Floor Topping (   Trowelled Finish),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1021 – CEMENT FLOOR FINISH,1021 (3)c,Floor Topping (   Dry-Shake Finish),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1021 – CEMENT FLOOR FINISH,1021 (4),Straight to Finish (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1021 – CEMENT FLOOR FINISH,1021 (5),Cement Broom Finish (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1021 – CEMENT FLOOR FINISH,1021 (6),Nonslip Finish (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1021 – CEMENT FLOOR FINISH,1021 (7),Scratched Finish (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1021 – CEMENT FLOOR FINISH,1021 (8),Floated Finish (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1021 – CEMENT FLOOR FINISH,1021 (9),Exposed Aggregate Finish (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1021 – CEMENT FLOOR FINISH,1021 (10),Gloss-imparting Waxes (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1021 – CEMENT FLOOR FINISH,1021 (11),Evaporation Reducers (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1021 – CEMENT FLOOR FINISH,1021 (12),Floor Finishes (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1022 – STUCCO  FINISH,1022 (1),Stucco Finish (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1023 – GRANOLITHIC MARBLE WORK,1023 (1),Granolithic Marble Work (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1023 – GRANOLITHIC MARBLE WORK,1023 (2),Granolithic Marble Work (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1023 – GRANOLITHIC MARBLE WORK,1023 (3),Granolithic Marble Work (   ),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1024 – PEA GRAVEL WASHOUT FINISH,1024 (1),Pea Gravel Washout Finish (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1024 – PEA GRAVEL WASHOUT FINISH,1025 (1)a,Hammered Finish (   Bush),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1024 – PEA GRAVEL WASHOUT FINISH,1025 (1)b,Hammered Finish (   Fluted Bush),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1026 – PEBBLE WASHOUT FINISH,1026 (1),Pebble Washout (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1027 – CEMENT PLASTER FINISH,1027 (1),Cement Plaster Finish (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1027 – CEMENT PLASTER FINISH,1027 (2),Simulated Red Bricks (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1027 – CEMENT PLASTER FINISH,1027 (3),Decorative Stone (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1027 – CEMENT PLASTER FINISH,1027 (4),Cement Plaster Finish (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1027 – CEMENT PLASTER FINISH,1027 (5),Simulated Red Bricks (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1027 – CEMENT PLASTER FINISH,1027 (6),Decorative Stone (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1028 – SYNTHETIC ADOBE,1028 (1)a,Synthetic Adobe Finish (   Bush Hammered),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1028 – SYNTHETIC ADOBE,1028 (1)b,Synthetic Adobe Finish (   Fluted Bush Hammered),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1028 – SYNTHETIC ADOBE,1028 (2),Synthetic Finish (   Piqueta Tool Finish),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1028 – SYNTHETIC ADOBE,1029 (1),Granite Washout Finish (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1028 – SYNTHETIC ADOBE,1029 (2),Granite Washout Finish (   ),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1030 – ACOUSTICAL CEILING,1030 (1),Acoustical Ceiling Panel (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1031 – ACOUSTICAL TREATMENT,1031 (1)a,Acoustical (   Tile),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1031 – ACOUSTICAL TREATMENT,1031 (1)b,Acoustical (   Board),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1031 – ACOUSTICAL TREATMENT,1031 (1)c,Acoustical (   Panel),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1031 – ACOUSTICAL TREATMENT,1031 (2),Sprayed-on Acoustical Material (   ),Square Meter
DIVISION II - BUILDING,PART E,"ITEM 1032 – PAINTING, VARNISHING AND OTHER RELATED WORKS",1032 (1)a,Painting Works (   Masonry/Concrete),Square Meter
DIVISION II - BUILDING,PART E,"ITEM 1032 – PAINTING, VARNISHING AND OTHER RELATED WORKS",1032 (1)b,Painting Works (   Wood),Square Meter
DIVISION II - BUILDING,PART E,"ITEM 1032 – PAINTING, VARNISHING AND OTHER RELATED WORKS",1032 (1)c,Painting Works (   Steel),Square Meter
DIVISION II - BUILDING,PART E,"ITEM 1032 – PAINTING, VARNISHING AND OTHER RELATED WORKS",1032 (2),Varnishing (   ),Square Meter
DIVISION II - BUILDING,PART E,"ITEM 1032 – PAINTING, VARNISHING AND OTHER RELATED WORKS",1032 (3),Sea-mist Finish (   ),Square Meter
DIVISION II - BUILDING,PART E,"ITEM 1032 – PAINTING, VARNISHING AND OTHER RELATED WORKS",1032 (4),Ducco Finish (   ),Square Meter
DIVISION II - BUILDING,PART E,"ITEM 1032 – PAINTING, VARNISHING AND OTHER RELATED WORKS",1032 (5),Textured Finish (   ),Square Meter
DIVISION II - BUILDING,PART E,"ITEM 1032 – PAINTING, VARNISHING AND OTHER RELATED WORKS",1033 (1),Metal Deck Panel (   ),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1034 – DAMPPROOFING,1034 (1)a,Dampproofing (   Asphalt),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1034 – DAMPPROOFING,1034 (1)b,Dampproofing (   Polyethylene Sheet),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1034 – DAMPPROOFING,1034 (1)c,Dampproofing (   Coal-tar Pitch),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1034 – DAMPPROOFING,1034 (1)d,Dampproofing (   Emulsified Asphalt),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1035 – NON-STRUCTURAL METAL FRAMING,1035 (1),Non-Structural Metal Framing (   ),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1035 – NON-STRUCTURAL METAL FRAMING,1035 (2),Non-Structural Metal Framing (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1036 – POLYCARBONATE SHEETS/PANEL,1036 (1)a,Polycarbonate Sheets/Panels (   Solid),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1036 – POLYCARBONATE SHEETS/PANEL,1036 (1)b,Polycarbonate Sheets/Panels (   Corrugated),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1036 – POLYCARBONATE SHEETS/PANEL,1036 (1)c,Polycarbonate Sheets/Panels (   Multi Wall),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1036 – POLYCARBONATE SHEETS/PANEL,1036 (2)a,Polycarbonate Sheets/Panels (   Solid),Piece
DIVISION II - BUILDING,PART E,ITEM 1036 – POLYCARBONATE SHEETS/PANEL,1036 (2)b,Polycarbonate Sheets/Panels (   Corrugated),Piece
DIVISION II - BUILDING,PART E,ITEM 1036 – POLYCARBONATE SHEETS/PANEL,1036 (2)c,Polycarbonate Sheets/Panels (   Multi Wall),Piece
DIVISION II - BUILDING,PART E,ITEM 1036 – POLYCARBONATE SHEETS/PANEL,1036 (3)a,Polycarbonate Sheets/Panels (   Solid),Roll
DIVISION II - BUILDING,PART E,ITEM 1036 – POLYCARBONATE SHEETS/PANEL,1036 (3)b,Polycarbonate Sheets/Panels (   Corrugated),Roll
DIVISION II - BUILDING,PART E,ITEM 1036 – POLYCARBONATE SHEETS/PANEL,1036 (3)c,Polycarbonate Sheets/Panels (   Multi Wall),Roll
DIVISION II - BUILDING,PART E,ITEM 1037 – CONCRETE ROOF TILE,1037 (1),Concrete Roof Tile (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1038 – REFLECTIVE INSULATION,1038 (1),Reflective Insulation (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1039 – ALUMINUM CLADDING,1039 (1),Aluminum Cladding (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1040 – METAL LATH AND ACCESSORIES,1040 (1),Metal Lath and Accessories (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1040 – METAL LATH AND ACCESSORIES,1041 (1),Gypsum Board for Walls (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1040 – METAL LATH AND ACCESSORIES,1041 (2),Gypsum Board for Ceilings (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1042 – STAINLESS STEEL DOOR AND FRAMES,1042 (1),Stainless Steel Door and Frames (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1042 – STAINLESS STEEL DOOR AND FRAMES,1042 (2),Stainless Steel Door and Frames (   ),Set
DIVISION II - BUILDING,PART E,ITEM 1043 – PVC DOORS AND FRAMES,1043 (1),PVC Doors and Frames (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1043 – PVC DOORS AND FRAMES,1043 (2),PVC Doors and Frames (   ),Set
DIVISION II - BUILDING,PART E,ITEM 1043 – PVC DOORS AND FRAMES,1043 (3),PVC Doors and Frames (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1044 – FOLDING DOOR / PARTITION,1044 (1)a,Folding Door (   Wooden),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1044 – FOLDING DOOR / PARTITION,1044 (1)b,Folding Door (   Steel/Aluminum),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1044 – FOLDING DOOR / PARTITION,1044 (1)c,Folding Door (   Plastic/PVC),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1044 – FOLDING DOOR / PARTITION,1044 (2)a,Folding Partition (   Wooden),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1044 – FOLDING DOOR / PARTITION,1044 (2)b,Folding Partition (   Steel/Aluminum),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1044 – FOLDING DOOR / PARTITION,1044 (2)c,Folding Partition (   Plastic/PVC),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1044 – FOLDING DOOR / PARTITION,1044 (3),Folding Doors/Partition (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1044 – FOLDING DOOR / PARTITION,1045 (1),Perforated Ceiling Panel (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1044 – FOLDING DOOR / PARTITION,1045 (2),Perforated Ceiling Panel (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1046 – MASONRY WORKS,1046 (1)a1,CHB Load Bearing  (including Reinforcing Steel) ( 100 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1046 – MASONRY WORKS,1046 (1)a2,CHB Load Bearing  (including Reinforcing Steel) ( 150 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1046 – MASONRY WORKS,1046 (2)a1,CHB Non-Load Bearing (including Reinforcing Steel) ( 100 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1046 – MASONRY WORKS,1046 (2)a2,CHB Non-Load Bearing (including Reinforcing Steel) ( 150 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1046 – MASONRY WORKS,1046 (3),Louver Block (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1046 – MASONRY WORKS,1046 (4)a1,AAC Non-Load Bearing ( 100 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1046 – MASONRY WORKS,1046 (4)a2,AAC Non-Load Bearing ( 150 mm  ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1046 – MASONRY WORKS,1046 (5),Adobe Blocks (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1047 – METAL STRUCTURES,1047 (1),Metal Structures (   ),Kilogram
DIVISION II - BUILDING,PART E,ITEM 1047 – METAL STRUCTURES,1047 (2),Metal Structures (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1047 – METAL STRUCTURES,1047 (3),Metal Structure Accessories (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1047 – METAL STRUCTURES,1047 (4)a,Metal Structure Accessories (   Bolts and Rods),Each
DIVISION II - BUILDING,PART E,ITEM 1047 – METAL STRUCTURES,1047 (4)b,Metal Structure Accessories (   Turnbuckle),Each
DIVISION II - BUILDING,PART E,ITEM 1047 – METAL STRUCTURES,1047 (5)a,Metal Structure Accessories (   Bolts and Rods),Kilogram
DIVISION II - BUILDING,PART E,ITEM 1047 – METAL STRUCTURES,1047 (5)b,Metal Structure Accessories (   Sagrods),Kilogram
DIVISION II - BUILDING,PART E,ITEM 1047 – METAL STRUCTURES,1047 (5)c,Metal Structure Accessories (   Cross Bracing),Kilogram
DIVISION II - BUILDING,PART E,ITEM 1047 – METAL STRUCTURES,1047 (5)d,Metal Structure Accessories (   Steel Plates),Kilogram
DIVISION II - BUILDING,PART E,ITEM 1047 – METAL STRUCTURES,1047 (6),Structural Steel (   ),Kilogram
DIVISION II - BUILDING,PART E,ITEM 1047 – METAL STRUCTURES,1047 (7),Structural Steel (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1047 – METAL STRUCTURES,1047 (8)a,Structural Steel (   Trusses),Kilogram
DIVISION II - BUILDING,PART E,ITEM 1047 – METAL STRUCTURES,1047 (8)b,Structural Steel (   Purlins),Kilogram
DIVISION II - BUILDING,PART E,ITEM 1047 – METAL STRUCTURES,1047 (8)c,Structural Steel (   Cladding Frame),Kilogram
DIVISION II - BUILDING,PART E,ITEM 1047 – METAL STRUCTURES,1047 (8)d,Structural Steel (   Deck Frame),Kilogram
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1048 (1)a,Carbon Fiber (   1 Layer),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1048 (1)b,Carbon Fiber (   2 Layers),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1048 (1)c,Carbon Fiber (   3 Layers),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1048 (1)d,Carbon Fiber (   4 Layers),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1048 (2),Carbon Fiber (   Plate),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1048 (3)a,Aramid Fiber (   1 Layer),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1048 (3)b,Aramid Fiber (   2 Layers),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1048 (3)c,Aramid Fiber (   3 Layers),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1048 (3)d,Aramid Fiber (   4 Layers),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1048 (4),Glass Fiber (   Sheet),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1048 (5),Structural Concrete Injection and Crack Repair (   ),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1048 (6),Concrete Repair (   Patching),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1048 (7),Concrete Repair (   Patching),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1048 (8),Structural Concrete Injection and Crack Repair (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1049 (1)a,Jet Grouting ( 600 mm dia.  ),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1049 (1)b,Jet Grouting ( 800 mm dia.  ),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1049 (1)c,Jet Grouting ( 1000 mm dia.  ),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1048 – FIBER REINFORCED POLYMER,1049 (1)d,Jet Grouting ( 1200 mm dia.  ),Linear Meter
DIVISION II - BUILDING,PART E,ITEM 1051 – RAILINGS,1051 (1),Railing (   ),Meter
DIVISION II - BUILDING,PART E,ITEM 1051 – RAILINGS,1051 (2)a,Concrete Railing (   Standard),Meter
DIVISION II - BUILDING,PART E,ITEM 1051 – RAILINGS,1051 (2)b,Concrete Railing (   Balluster),Meter
DIVISION II - BUILDING,PART E,ITEM 1051 – RAILINGS,1051 (2)c,Concrete Railing (   Parapet),Meter
DIVISION II - BUILDING,PART E,ITEM 1051 – RAILINGS,1051 (3),Wooden Railing (   ),Meter
DIVISION II - BUILDING,PART E,ITEM 1051 – RAILINGS,1051 (4),Stone and Brick Railing (   ),Meter
DIVISION II - BUILDING,PART E,ITEM 1051 – RAILINGS,1051 (5),Metal Railing (   ),Meter
DIVISION II - BUILDING,PART E,ITEM 1051 – RAILINGS,1051 (6),Stainless Steel Railing (   ),Meter
DIVISION II - BUILDING,PART E,ITEM 1051 – RAILINGS,1051 (7),Glass Railing (   ),Meter
DIVISION II - BUILDING,PART E,ITEM 1051 – RAILINGS,1051 (8),Railing (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (1),"Untreated Timber Piles, Furnished (   )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (2),"Treated Timber Piles, Preservative, Furnished (   )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (3)a,"Steel H-Piles, Furnished ( 305 mm x 305 mm  79 kg/m)",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (3)b,"Steel H-Piles, Furnished ( 305 mm x 305 mm  94 kg/m)",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (3)c,"Steel H-Piles, Furnished ( 305 mm x 305 mm  110 kg/m)",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (3)d,"Steel H-Piles, Furnished ( 305 mm x 305 mm  125 kg/m)",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (4)a1,"Precast Concrete Piles, Furnished ( 400 mm x 400 mm  )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (4)a2,"Precast Concrete Piles, Furnished ( 450 mm x 450 mm  )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (5)a1,"Precast, Prestresssed Concrete Piles, Furnished ( 400 mm x 400 mm  )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (5)a2,"Precast, Prestresssed Concrete Piles, Furnished ( 450 mm x 450 mm  )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (6),"Structural Steel Sheet Piles, Furnished (   )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (7),"Precast Concrete Sheet Piles, Furnished (   )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (8),"Untreated Timber Piles, Driven (   )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (9),"Treated Timber Piles, Driven (   )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (10),"Steel H-Piles,Ddriven (   )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (11),Steel Pipes Piles (   ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (12),"Structural Steel Sheet Piles, Driven (   )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (13),"Precast Concrete Sheet Piles, Driven (   )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (14),"Precast Concrete Piles, Driven (   )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (15),"Precast, Prestresssed Concrete Piles, Driven (   )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (16),"Test Piles, Furnished and Driven (   )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)a,Concrete Piles cast in Drilled Holes ( dia. 0.80 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)b,Concrete Piles cast in Drilled Holes ( dia. 0.90 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)c,Concrete Piles cast in Drilled Holes ( dia. 1.00 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)d,Concrete Piles cast in Drilled Holes ( dia. 1.10 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)e,Concrete Piles cast in Drilled Holes ( dia. 1.20 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)f,Concrete Piles cast in Drilled Holes ( dia. 1.30 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)g,Concrete Piles cast in Drilled Holes ( dia. 1.40 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)h,Concrete Piles cast in Drilled Holes ( dia. 1.50 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)i,Concrete Piles cast in Drilled Holes ( dia. 1.60 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)j,Concrete Piles cast in Drilled Holes ( dia. 1.70 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)k,Concrete Piles cast in Drilled Holes ( dia. 1.80 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)l,Concrete Piles cast in Drilled Holes ( dia. 1.90 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)m,Concrete Piles cast in Drilled Holes ( dia. 2.00 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)n,Concrete Piles cast in Drilled Holes ( dia. 2.10 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)o,Concrete Piles cast in Drilled Holes ( dia. 2.20 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)p,Concrete Piles cast in Drilled Holes ( dia. 2.30 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)q,Concrete Piles cast in Drilled Holes ( dia. 2.40 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)r,Concrete Piles cast in Drilled Holes ( dia. 2.50 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)s,Concrete Piles cast in Drilled Holes ( dia. 2.60 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)t,Concrete Piles cast in Drilled Holes ( dia. 2.70 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)u,Concrete Piles cast in Drilled Holes ( dia. 2.80 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)v,Concrete Piles cast in Drilled Holes ( dia. 2.90 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)w,Concrete Piles cast in Drilled Holes ( dia. 3.00 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)x,Concrete Piles cast in Drilled Holes ( dia. 3.50 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)y1,Concrete Piles cast in Drilled Holes ( 3.00 m x 6.50 m  Oval),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)y2,Concrete Piles cast in Drilled Holes ( 3.00 m x 7.00 m  Oval),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)z,Concrete Piles cast in Drilled Holes (   Rectangular),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (17)aa,Concrete Piles cast in Drilled Holes ( dia. 0.60 m  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (18)a,Concrete Piles cast in Steel Shells ( dia. 400 mm  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (18)b,Concrete Piles cast in Steel Shells ( dia. 500 mm  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (19)a,Concrete Piles cast in Steel Pipes ( dia. 400 mm  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (19)b,Concrete Piles cast in Steel Pipes ( dia. 500 mm  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (20),Pile Shoes (   ),Each
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (21),Splices (   ),Each
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (22),Load Tests (   ),Each
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)a1,Permanent Casing ( dia. 0.80 m  10 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)a2,Permanent Casing ( dia. 0.80 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)a3,Permanent Casing ( dia. 0.80 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)b1,Permanent Casing ( dia. 0.90 m  10 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)b2,Permanent Casing ( dia. 0.90 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)b3,Permanent Casing ( dia. 0.90 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)c1,Permanent Casing ( dia. 1.00 m  10 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)c2,Permanent Casing ( dia. 1.00 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)c3,Permanent Casing ( dia. 1.00 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)d1,Permanent Casing ( dia. 1.10 m  10 mm thick),Meter
