Material Code ,Material Description,Unit, Price 
MG10.0006,SQUARE BAR (A36),KG, 65.12 
MG10.0007,I-BEAM (A36),KG, 64.77 
MG10.0008,WIDE FLANGE (A36),KG, 66.83 
MG10.0009,"MILLED STEEL PLATE, PLAIN (A36)",KG, 61.19 
MG10.0010,"STEEL CASING (10 mm thk, 600 mm Ø)",M," 7,348.00 "
MG10.0011,"STEEL CASING (10 mm thk, 700 mm Ø)",M," 8,052.00 "
MG10.0012,"STEEL CASING (10 mm thk, 800 mm Ø)",M," 9,957.20 "
MG10.0013,"STEEL CASING (10 mm thk, 900 mm Ø)",M," 11,096.80 "
MG10.0014,"STEEL CASING (10 mm thk, 1000 mm Ø)",M," 12,287.44 "
MG10.0015,"STEEL CASING (10 mm thk, 1100 mm Ø)",M," 13,648.80 "
MG10.0016,"STEEL CASING (10 mm thk, 1200 mm Ø)",M," 15,320.80 "
MG10.0017,"STEEL CASING (10 mm thk, 1300 mm Ø)",M," 16,108.40 "
MG10.0018,"STEEL CASING (10 mm thk, 1400 mm Ø)",M," 17,450.40 "
MG10.0019,"STEEL CASING (10 mm thk, 1500 mm Ø)",M," 18,700.00 "
MG10.0020,"STEEL SHEET PILE, U-TYPE (A36)",KG, 61.60 
MG10.0021,"STEEL SHEET PILE, U-TYPE (A50)",KG, 62.76 
MG10.0022,"STEEL SHELL/TUBULAR PIPE (9.50 mm thk, 400 mm Ø)",M," 5,912.99 "
MG10.0023,"STEEL SHELL/TUBULAR PIPE (9.50 mm thk, 500 mm Ø)",M," 7,256.86 "
MG99.0001,ACETYLENE,KG, 91.06 
MG99.0002,OXYGEN,KG, 71.87 
MG99.0003,WELDING ROD,KG, 153.15 
MG99.0004,BENTONITE,KG, 272.80 
MG99.0005,PACKAGING TAPE (50 mm x 50 m),PC, 57.20 
MG99.0006,TEFFLON TAPE (12 mm x 10 m),ROLL, 18.48 
MG99.0007,POLYETHYLENE SHEET (0.1 mm thk),SQM, 14.96 
MG99.0008,RUBBER HOSE (12.70 mm Ø),M, 45.76 
MG99.0009,SAND PAPER (23 cm x 28 cm),PC, 12.32 
MG99.0010,SILICA SAND,KG, 47.52 
MG99.0011,HINGE (50 mm x 101 mm),PAIR, 66.00 
MG99.0012,TARPAULIN,SQFT, 17.60 
MG99.0013,"TURNBUCKLE (1/2"" | 12.7 mm Ø)",PC, 92.40 
MG99.0014,"TURNBUCKLE (5/8"" | 16 mm Ø)",PC, 132.00 
MG99.0015,"TURNBUCKLE (3/4"" | 19 mm Ø)",PC, 189.20 
MS01.0001,PRECAST CONCRETE CURB (3000 PSI),M, 657.36 
MS01.0002,PRECAST CONCRETE GUTTER (3000 PSI),M, 649.44 
MS01.0003,PRECAST CONCRETE CURB & GUTTER (3000 PSI),M," 1,308.56 "
MS02.0001,"GABION, METALLIC COATED (0.5m x 1m x 3m)",PC," 1,518.00 "
MS02.0002,"GABION, METALLIC COATED (0.5m x 1m x 4m)",PC," 1,698.40 "
MS02.0003,"GABION, METALLIC COATED (1m x 1m x 2m)",PC," 2,055.24 "
MS02.0004,"GABION, METALLIC COATED (1m x 1m x 3m)",PC," 2,275.68 "
MS02.0005,"GABION, METALLIC COATED (1m x 1m x 4m)",PC," 2,767.60 "
